match_id,date,kickoff_uk,stage,group,home_team,away_team,city,country,status
73,2026-06-28,20:00,Round of 32,,Group A runners-up,Group B runners-up,Los Angeles,USA,Scheduled
76,2026-06-29,18:00,Round of 32,,Group C winners,Group F runners-up,Houston,USA,Scheduled
74,2026-06-29,21:30,Round of 32,,Group E winners,Group A/B/C/D/F third place,Foxborough,USA,Scheduled
75,2026-06-30,02:00,Round of 32,,Group F winners,Group C runners-up,Guadalupe,Mexico,Scheduled
78,2026-06-30,18:00,Round of 32,,Group E runners-up,Group I runners-up,Arlington,USA,Scheduled
77,2026-06-30,22:00,Round of 32,,Group I winners,Group C/D/F/G/H third place,New Jersey,USA,Scheduled
79,2026-07-01,02:00,Round of 32,,Group A winners,Group C/E/F/H/I third place,Mexico City,Mexico,Scheduled
80,2026-07-01,17:00,Round of 32,,Group L winners,Group E/H/I/J/K third place,Atlanta,USA,Scheduled
82,2026-07-01,21:00,Round of 32,,Group G winners,Group A/E/H/I/J third place,Seattle,USA,Scheduled
81,2026-07-02,01:00,Round of 32,,Group D winners,Group B/E/F/I/J third place,Santa Clara,USA,Scheduled
84,2026-07-02,20:00,Round of 32,,Group H winners,Group J runners-up,Los Angeles,USA,Scheduled
83,2026-07-03,00:00,Round of 32,,Group K runners-up,Group L runners-up,Toronto,Canada,Scheduled
85,2026-07-03,04:00,Round of 32,,Group B winners,Group E/F/G/I/J third place,Vancouver,Canada,Scheduled
88,2026-07-03,19:00,Round of 32,,Group D runners-up,Group G runners-up,Arlington,USA,Scheduled
86,2026-07-03,23:00,Round of 32,,Group J winners,Group H runners-up,Miami,USA,Scheduled
87,2026-07-04,02:30,Round of 32,,Group K winners,Group D/E/I/J/L third place,Kansas City,USA,Scheduled
90,2026-07-04,18:00,Round of 16,,Match 73 winners,Match 75 winners,Houston,USA,Scheduled
89,2026-07-04,22:00,Round of 16,,Match 74 winners,Match 77 winners,Philadelphia,USA,Scheduled
91,2026-07-05,21:00,Round of 16,,Match 76 winners,Match 78 winners,New Jersey,USA,Scheduled
92,2026-07-06,01:00,Round of 16,,Match 79 winners,Match 80 winners,Mexico City,Mexico,Scheduled
93,2026-07-06,20:00,Round of 16,,Match 83 winners,Match 84 winners,Arlington,USA,Scheduled
94,2026-07-07,01:00,Round of 16,,Match 81 winners,Match 82 winners,Seattle,USA,Scheduled
95,2026-07-07,17:00,Round of 16,,Match 86 winners,Match 88 winners,Atlanta,USA,Scheduled
96,2026-07-07,21:00,Round of 16,,Match 85 winners,Match 87 winners,Vancouver,Canada,Scheduled
97,2026-07-09,21:00,Quarter-final,,Match 89 winners,Match 90 winners,Foxborough,USA,Scheduled
98,2026-07-10,20:00,Quarter-final,,Match 93 winners,Match 94 winners,Los Angeles,USA,Scheduled
99,2026-07-11,22:00,Quarter-final,,Match 91 winners,Match 92 winners,Miami,USA,Scheduled
100,2026-07-12,02:00,Quarter-final,,Match 95 winners,Match 96 winners,Kansas City,USA,Scheduled
101,2026-07-14,20:00,Semi-final,,Match 97 winners,Match 98 winners,Arlington,USA,Scheduled
102,2026-07-15,20:00,Semi-final,,Match 99 winners,Match 100 winners,Atlanta,USA,Scheduled
103,2026-07-18,22:00,Third-place playoff,,Match 101 losers,Match 102 losers,Miami,USA,Scheduled
104,2026-07-19,20:00,Final,,Match 101 winners,Match 102 winners,New Jersey,USA,Scheduled
